fips_code,PSVI_score,PSVI_cluster
1001,50.69,Moderate
1003,67.97,Moderate
1005,47.68,Moderate
1007,24.45,Minor
1009,55.53,Moderate
1011,47.15,Moderate
1013,42.22,Moderate
1015,66.78,Moderate
1017,57.08,Moderate
1019,97.42,Major
1021,22.77,Minor
1023,52.78,Moderate
1025,46.96,Moderate
1027,10.13,Minor
1029,14.76,Minor
1031,64.73,Moderate
1035,60.39,Moderate
1037,36.23,Minor
1039,50.66,Moderate
1041,23.73,Minor
1043,84.88,Moderate
1045,43.08,Moderate
1047,24.59,Minor
1049,60.95,Moderate
1051,54.07,Moderate
1053,30.74,Minor
1055,80.68,Moderate
1057,29.38,Minor
1059,54.53,Moderate
1061,14.1,Minor
1063,48.97,Moderate
1065,51.85,Moderate
1067,3.44,Minor
1069,94.64,Major
1071,57.15,Moderate
1073,97.58,Major
1075,19.42,Minor
1077,70.71,Moderate
1079,66.74,Moderate
1081,80.58,Moderate
1083,60.99,Moderate
1085,13.4,Minor
1087,69.59,Moderate
1089,87.66,Moderate
1091,64.96,Moderate
1093,26.54,Minor
1095,94.71,Major
1097,95.63,Major
1099,17.94,Minor
1101,88.88,Moderate
1103,44.87,Moderate
1105,8.77,Minor
1107,42.29,Moderate
1109,52.81,Moderate
1111,22.17,Minor
1113,70.52,Moderate
1115,74.65,Moderate
1117,70.12,Moderate
1119,37.92,Minor
1121,25.55,Minor
1123,35.18,Minor
1125,90.9,Major
1127,84.71,Moderate
1129,49.6,Moderate
1131,20.62,Minor
1133,29.09,Minor
4001,63.67,Moderate
4003,62.14,Moderate
4005,46.03,Moderate
4007,81.34,Moderate
4009,55.36,Moderate
4011,35.67,Minor
4012,38.48,Moderate
4013,99.31,Severe
4015,54.37,Moderate
4017,86.53,Moderate
4019,96.59,Major
4021,91.07,Major
4023,15.39,Minor
4025,90.97,Major
4027,80.34,Moderate
5001,27.99,Minor
5003,54.1,Moderate
5005,16.48,Minor
5007,84.18,Moderate
5009,66.58,Moderate
5011,23.86,Minor
5013,80.11,Moderate
5015,18.33,Minor
5017,26.51,Minor
5019,38.25,Minor
5021,54.63,Moderate
5023,35.31,Minor
