fips_code,PSVI_score,PSVI_cluster
8089,0.03,Minor
56017,0.07,Minor
48295,0.1,Minor
31161,0.13,Minor
20129,0.16,Minor
35059,0.2,Minor
49055,0.23,Minor
30071,0.26,Minor
30001,0.3,Minor
19055,0.33,Minor
48413,0.36,Minor
8023,0.39,Minor
8027,0.43,Minor
41027,0.46,Minor
48129,0.49,Minor
31081,0.53,Minor
48211,0.56,Minor
30105,0.59,Minor
20041,0.62,Minor
30073,0.66,Minor
41023,0.69,Minor
30041,0.72,Minor
17169,0.76,Minor
35023,0.79,Minor
48197,0.82,Minor
46015,0.85,Minor
41015,0.89,Minor
30005,0.92,Minor
49031,0.95,Minor
56035,0.99,Minor
30039,1.02,Minor
30023,1.05,Minor
17045,1.08,Minor
19091,1.12,Minor
16065,1.15,Minor
17171,1.18,Minor
20051,1.22,Minor
46017,1.25,Minor
20169,1.28,Minor
29005,1.31,Minor
17059,1.35,Minor
40025,1.38,Minor
8105,1.41,Minor
30007,1.45,Minor
16045,1.48,Minor
47029,1.51,Minor
8075,1.54,Minor
30027,1.58,Minor
19089,1.61,Minor
29227,1.64,Minor
17027,1.68,Minor
48087,1.71,Minor
31069,1.74,Minor
47003,1.77,Minor
29115,1.81,Minor
28045,1.84,Minor
48075,1.87,Minor
48101,1.91,Minor
26131,1.94,Minor
51685,1.97,Minor
29041,2,Minor
19073,2.04,Minor
38097,2.07,Minor
49009,2.1,Minor
19137,2.14,Minor
20117,2.17,Minor
48447,2.2,Minor
48421,2.23,Minor
31045,2.27,Minor
35037,2.3,Minor
17009,2.33,Minor
31139,2.37,Minor
13047,2.4,Minor
47095,2.43,Minor
20195,2.46,Minor
30051,2.5,Minor
47175,2.53,Minor
31089,2.56,Minor
46005,2.6,Minor
20143,2.63,Minor
19175,2.66,Minor
19015,2.69,Minor
19195,2.73,Minor
35035,2.76,Minor
47153,2.79,Minor
1067,2.83,Minor
30017,2.86,Minor
8043,2.89,Minor
48169,2.92,Minor
49041,2.96,Minor
8073,2.99,Minor
53013,3.02,Minor
21109,3.06,Minor
30049,3.09,Minor
31185,3.12,Minor
35047,3.15,Minor
16075,3.19,Minor
30057,3.22,Minor
17173,3.25,Minor
51580,3.29,Minor
25007,3.32,Minor
5101,3.35,Minor
27023,3.38,Minor
17041,3.42,Minor
48153,3.45,Minor
17017,3.48,Minor
17069,3.52,Minor
29149,3.55,Minor
29011,3.58,Minor
16067,3.61,Minor
5105,3.65,Minor
